datasource_and_rights	type	modified	language	rights	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	occurrenceremarks	recordnumber	recordedby	individualid	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	othercatalognumbers	previousidentifications	associatedmedia	associatedreferences	associatedoccurrences	associatedsequences	associatedtaxa	eventid	samplingprotocol	samplingeffort	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	fieldnumber	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	verbatimelevation	minimumelevationinmeters	maximumelevationinmeters	verbatimdepth	minimumdepthinmeters	maximumdepthinmeters	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	identificationqualifier	typestatus	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmnh_birds			en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/dmnh/bird?id=73197	http://biocol.org/urn:lsid:biocol.org:col:34940	http://grbio.org/cool/ywsm-eq6q		DMNH	Bird	Delaware Museum of Natural History (DMNH) Bird Collection		PreservedSpecimen					73197			Kemper, Charles A.			female	adult			native	present	skeleton												1982-09-14		257	257	1982	9	14	14Sep1982							North America | USA | Wisconsin | Eau Claire |  |  |  |	North America				United States	US	Wisconsin	Eau Claire		Eau Claire; WEAU tower	North America | USA | Wisconsin | Eau Claire | Eau Claire; WEAU tower																44.7996216	-91.4676619	WGS84	93						Hinshaw , Janet	2008-9-26	VertNet Georeferencing Guidelines	BioGeomancer	verified by curator																																				Rallus limicola							Gruiformes | Rallidae | Rallus	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmnh_birds			en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/dmnh/bird?id=77267	http://biocol.org/urn:lsid:biocol.org:col:34940	http://grbio.org/cool/ywsm-eq6q		DMNH	Bird	Delaware Museum of Natural History (DMNH) Bird Collection		PreservedSpecimen					77267		TSBR 88-1298	Tri-State Bird Rescue			unknown	adult			native	present	skeleton | wing												1988-09-16		260	260	1988	9	16	16Sep1988							North America | USA | Delaware | New Castle |  |  |  |	North America				United States	US	Delaware	New Castle		Wilmington, near Rockford Park	North America | USA | Delaware | New Castle | Wilmington, near Rockford Park																39.7673378	-75.570755	WGS84	2048						Millen, Bradley G.	2009-10-21	VertNet Georeferencing Guidelines	BioGeomancer	verified by curator																																				Rallus limicola							Gruiformes | Rallidae | Rallus	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmnh_birds			en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/dmnh/bird?id=79167	http://biocol.org/urn:lsid:biocol.org:col:34940	http://grbio.org/cool/ywsm-eq6q		DMNH	Bird	Delaware Museum of Natural History (DMNH) Bird Collection		PreservedSpecimen					79167		TSBR 90-1252	Tri-State Bird Rescue			male	adult			native	present	skeleton | wing												1990-09-24		267	267	1990	9	24	24Sep1990							North America | USA | Delaware | New Castle |  |  |  |	North America				United States	US	Delaware	New Castle		Newark, Chapel Hill subdivision	North America | USA | Delaware | New Castle | Newark, Chapel Hill subdivision																39.7021021	-75.7373428	WGS84	1603						Millen, Bradley G.	2009-10-21	VertNet Georeferencing Guidelines	BioGeomancer	verified by curator																																				Rallus limicola							Gruiformes | Rallidae | Rallus	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmnh_birds			en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/dmnh/bird?id=79617	http://biocol.org/urn:lsid:biocol.org:col:34940	http://grbio.org/cool/ywsm-eq6q		DMNH	Bird	Delaware Museum of Natural History (DMNH) Bird Collection		PreservedSpecimen					79617		TSBR 92-0219	Tri-State Bird Rescue			unknown	adult			native	present	skeleton												1992-04-21		112	112	1992	4	21	21Apr1992							North America | USA | Delaware | Kent |  |  |  |	North America				United States	US	Delaware	Kent		Dover	North America | USA | Delaware | Kent | Dover																39.1167	-75.5247	WGS84	3220						Buitrago , Cesar	2005-5-24	VertNet Georeferencing Guidelines	Alexandria Digital Library Gazetteer	verified by curator	used Dover PPL (county seat), extent estimated to be 2 mi (radius)																																			Rallus limicola							Gruiformes | Rallidae | Rallus	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmnh_birds			en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/dmnh/bird?id=83375	http://biocol.org/urn:lsid:biocol.org:col:34940	http://grbio.org/cool/ywsm-eq6q		DMNH	Bird	Delaware Museum of Natural History (DMNH) Bird Collection		PreservedSpecimen					83375		TSBR 93-1848	Tri-State Bird Rescue			male	adult			native	present	skeleton | wing												1993-10-07		280	280	1993	10	7	07Oct1993							North America | USA | Delaware | New Castle |  |  |  |	North America				United States	US	Delaware	New Castle		New Castle, Canby Court	North America | USA | Delaware | New Castle | New Castle, Canby Court																39.742461	-75.7004142	WGS84	18						Millen, Bradley G.	2009-10-21	VertNet Georeferencing Guidelines	BioGeomancer	verified by curator																																				Rallus limicola							Gruiformes | Rallidae | Rallus	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_bird		2013-12-13 12:50:28.0	en			http://vertnet.org/resources/norms.html		http://arctos.database.museum/guid/DMNS:Bird:34876	urn:lsid:biocol.org:col:35013			DMNS	Bird specimens			PreservedSpecimen			sex=female ; age=Adult ; fat deposition=Heavy Fat ; molt condition=No Molt ; skull ossification=Ossified ; weight=79 g; reproductive data=OV: 14x12 mm ; total length=221 mm; wing chord=91 mm; verbatim preservation date=08 August 2013		34876	Found dead on 3 July 2013. No ecto- or endoparasites found.		Collector(s): Bob Canter; Preparator(s): Mary E. Murphy		1	female				wild caught		skeleton; muscle (frozen); heart, kidney, liver (frozen); study skin		DZTB: Denver Zoology Tissue Bird=685	<i>Rallus limicola</i> (accepted ID) identified by Mary E. Murphy on 2013-07-08; method: field							salvage		2013-07-08			189	2013	07	08	8 July 2013							North America, United States, Colorado, Adams County	North America				United States		Colorado	Adams County		Lowell Ponds State Wildlife Area	Lowell Ponds State Wildlife Area		1594	1594						Presley Hy		39.797715/-105.037959			decimal degrees		39.797715	-105.037959	World Geodetic System 1984	1000						Presley Hy	2013-12-12 00:00:00.0	not recorded	google earth	unverified																					Mary E. Murphy	2013-07-08		field		A										Rallus limicola							Animalia; Chordata; Aves; Gruiformes; Rallidae; Rallinae;	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola						ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_bird		2014-11-05 15:56:02.0	en			http://vertnet.org/resources/norms.html		http://arctos.database.museum/guid/DMNS:Bird:41235	urn:lsid:biocol.org:col:35013			DMNS	Bird specimens			PreservedSpecimen			sex=unknown ; verbatim preservation date=28 July 1994 ; wing chord=111 mm; weight=75.1 g; age class=adult ; total length=195 mm		41235	Gonads not found. Skeleton in badly broken condition.		Collector(s): Bill Prather; Preparator(s): R. H. Schueneman		1	unknown	adult			wild caught		skeleton		second collector number=XB876	<i>Rallus limicola</i> (accepted ID) identified by unknown; method: legacy									1993-06-19			170	1993	06	19	19 June 1993							North America, United States, Colorado, Weld County	North America				United States		Colorado	Weld County		Union Reservoir	Union Reservoir		1511	1511						unknown		40d 10m 24s N/105d 2m 36s W			deg. min. sec.		40.1805298	-105.0411298	unknown	1500						unknown	1993-06-19 00:00:00.0	Google automated georeference	Google auto-suggest georeference	unverified																					unknown			legacy		A										Rallus limicola							Animalia; Chordata; Aves; Gruiformes; Rallidae; Rallinae;	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola						ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts		2015-02-02	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/lacm/birds?id=104293	urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""OV = 11.0 X 4.0"", ""measurements"":""C:31.9; W:100.0; T:23.0; TAIL:38.0"", ""weight"":""68.0"" }"		104293	FOUND DEAD AT ROADSIDE		GREENE, LINDSAY			female				native	present	flat skin with complete skeleton												1987-09-13		256	256	1987	9	13	13 SEP 1987							NORTH AMERICA | UNITED STATES | CALIFORNIA | LOS ANGELES CO |  |  |  |	North America				United States	US	California	Los Angeles		MONTE NIDO; COLD CK DRAINAGE, STA MONICA MTS	NORTH AMERICA | UNITED STATES | CALIFORNIA | LOS ANGELES CO | MONTE NIDO; COLD CK DRAINAGE, STA MONICA MTS												34 05 00 N	118 41 00 W	decimal degrees		34.0833333	-118.6833333	WGS84	2548								VertNet Georeferencing Guidelines		requires verification																																				Rallus limicola zetarius							Gruiformes | Rallidae | Rallus |	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola	zetarius	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts		2015-04-14	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/lacm/birds?id=107142	urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""OVARY GRANULAR"", ""weight"":""53"" }"		107142	FOUND DYING IN YARD		MERSUER, E			female				native	present	skin | skull												1992-03-08		68	68	1992	3	8	08 MAR 1992							NORTH AMERICA | UNITED STATES | CALIFORNIA | LOS ANGELES CO |  |  |  |	North America				United States	US	California	Los Angeles		LA CANADA FLINTRIDGE; HAMPSTEAD AVE	NORTH AMERICA | UNITED STATES | CALIFORNIA | LOS ANGELES CO | LA CANADA FLINTRIDGE; HAMPSTEAD AVE												34 12 39 N	118 12 02 W	decimal degrees		34.210704	-118.2004775	WGS84	4148								VertNet Georeferencing Guidelines		requires verification																																				Rallus limicola limicola							Gruiformes | Rallidae | Rallus |	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola	limicola	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts		2015-04-14	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/lacm/birds?id=110575	urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""OV= 8 X 3, GRANULAR"", ""weight"":""64"" }"		110575	SC=SMALL SEEDS, INSECT PARTS; WINDOW KILL		GARRETT, K L			female				native	present	skin | skull												1998-09-16		259	259	1998	9	16	16 SEP 1998							NORTH AMERICA | UNITED STATES | CALIFORNIA | LOS ANGELES CO |  |  |  |	North America				United States	US	California	Los Angeles		LOS ANGELES; EXPOSITION PARK	NORTH AMERICA | UNITED STATES | CALIFORNIA | LOS ANGELES CO | LOS ANGELES; EXPOSITION PARK												34 01 55 N	118 18 06 W	decimal degrees		34.0320587	-118.301651	WGS84	13638								VertNet Georeferencing Guidelines		requires verification																																				Rallus limicola zetarius							Gruiformes | Rallidae | Rallus |	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola	zetarius	subspecies				ICZN			
