datasource_and_rights	type	modified	language	rights	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	occurrenceremarks	recordnumber	recordedby	individualid	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	othercatalognumbers	previousidentifications	associatedmedia	associatedreferences	associatedoccurrences	associatedsequences	associatedtaxa	eventid	samplingprotocol	samplingeffort	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	fieldnumber	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	verbatimelevation	minimumelevationinmeters	maximumelevationinmeters	verbatimdepth	minimumdepthinmeters	maximumdepthinmeters	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	identificationqualifier	typestatus	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=177641	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""2"", ""incubation"":""Fresh"" }"		177641	Additional data on card		W.E. Unglish				Fresh			native	present	eggs	in collection	609										1936-04-18		109	109	1936	4	18								| USA | California | Santa Clara |  |  |  |	North America				United States	US	California	Santa Clara		Gilroy, Three miles east	USA | California | Santa Clara | Gilroy, Three miles east														decimal degrees		37.010114	-121.5235674	WGS84	10046						Megan Hines	11 June 2014	Georeferencing Quick Reference Guide	GEOlocate	requires verification																																				Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=177645	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""12"", ""incubation"":""One week"" }"		177645	Additional info on card		Ed N. Harrison				One week			native	present	eggs	in collection	1225										1935-06-15		166	166	1935	6	15								| USA | California | Mono |  |  |  |	North America				United States	US	California	Mono		Long Valley, Dayhe Hot Springs	USA | California | Mono | Long Valley, Dayhe Hot Springs														decimal degrees		37.659455	-118.754787	WGS84	17880						Ryane Cox	28 May 2014	Georeferencing Quick Reference Guide	GEOLocate	requires verification	Could not locate Dayhe Hot Springs. Georeferenced Long Valley																																			Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=177646	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""13"", ""incubation"":""Fresh to advance"" }"		177646	Additional info on card		Ed N. Harrison				Fresh to advance			native	present	eggs	in collection	1015										1934-05-25		145	145	1934	5	25								| USA | California | Mono |  |  |  |	North America				United States	US	California	Mono		Long Valley, Eaton's Ranch	USA | California | Mono | Long Valley, Eaton's Ranch														decimal degrees		37.659455	-118.754787	WGS84	17880						Ryane Cox	28 May 2014	Georeferencing Quick Reference Guide	GEOLocate	requires verification	Could not locate Eaton's Ranch. Georeferenced Long Valley																																			Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=177647	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""10"", ""incubation"":""Started"" }"		177647	Additional info on card		Ed N. Harrison				Started			native	present	eggs | nest	in collection	1059										1934-06-03		154	154	1934	6	3								| USA | California | Mono |  |  |  |	North America				United States	US	California	Mono		Long Valley, Eaton's Ranch	USA | California | Mono | Long Valley, Eaton's Ranch														decimal degrees		37.659455	-118.754787	WGS84	17880						Ryane Cox	28 May 2014	Georeferencing Quick Reference Guide	GEOLocate	requires verification	Could not locate Eaton's Ranch. Georeferenced Long Valley																																			Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=188713	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""9"", ""incubation"":""Not recorded"" }"		188713	No additional data		Fred Truesdale				Not recorded			native	present	eggs	in collection	34/9										1956-05-13		134	134	1956	5	13								| USA | California | San Luis Obispo |  |  |  |	North America				United States	US	California	San Luis Obispo		Pecho Beach	USA | California | San Luis Obispo | Pecho Beach														decimal degrees		35.178927	-120.792711	WGS84	3440						Rebecca Gridley	21 May 2014	Georeferencing Quick Reference Guide	GEOLocate	requires verification																																				Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=205942	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""9"", ""incubation"":""2/3 Advanced"" }"		205942	Additional data on card. Eggs unavailable.		Not recorded				2/3 Advanced			native	present	C	voucher elsewhere	1/9 - 1940										1940-05-13		134	134	1940	5	13								| USA | California | Mono |  |  |  |	North America				United States	US	California	Mono		Long Valley	USA | California | Mono | Long Valley														decimal degrees		37.659455	-118.754787	WGS84	17880						Ryane Cox	28 May 2014	Georeferencing Quick Reference Guide	GEOLocate	requires verification																																				Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=21551	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""9"", ""incubation"":""Showing blood"" }"		21551	Additional data on card		Raymond J. Quigley | Kenneth E. Vorce				Showing blood			native	present	eggs | nest	in collection	13/9										1963-06-07		158	158	1963	6	7								| USA | California | Mono |  |  |  |	North America				United States	US	California	Mono		Bridgeport, Bridgeport Reservoir	USA | California | Mono | Bridgeport, Bridgeport Reservoir														decimal degrees		38.295167	-119.231581	WGS84	4954						Ryane Cox	27 May 2014	Georeferencing Quick Reference Guide	GEOLocate	requires verification	Georeferenced Bridgeport Reservoir																																			Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=23557	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""9"", ""incubation"":""Advanced"" }"		23557	Additional data on card		Frank H. Lattin				Advanced			native	present	eggs	in collection	2/9										1883-06-04		155	155	1883	6	4								| USA | Minnesota | Jackson |  |  |  |	North America				United States	US	Minnesota	Jackson		Loon Lake, A pond near above	USA | Minnesota | Jackson | Loon Lake, A pond near above														decimal degrees		43.544691	-95.0974846	WGS84	2305						Patrick Duffy (MSU)	2009-02-19	VertNet Georeferencing Guidelines	BioGeomancer	verified by curator	Coordinates are for near north Loon Lake																																			Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=28764	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""7"", ""incubation"":""Fresh"" }"		28764	Additional data on card		E. Laugerin				Fresh			native	present	eggs	in collection	1										1927-06-10		161	161	1927	6	10								| USA | Minnesota | Polk |  |  |  |	North America				United States	US	Minnesota	Polk			USA | Minnesota | Polk														decimal degrees		47.8478894	-96.3531495	WGS84	71390						Patrick Duffy (MSU)	2009-03-20	VertNet Georeferencing Guidelines	BioGeomancer	verified by curator																																				Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=wfvz_birds		2015-02-25	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/wfvz/eggs?id=28765	urn:lsid:biocol.org:col:34967			WFVZ	Eggs			PreservedSpecimen			"{""clutchSize"":""8"", ""incubation"":""1/3"" }"		28765	Additional data on card		E.E. Sechrist				1/3			native	present	eggs	in collection	1/8-39										1939-05-29		149	149	1939	5	29								| USA | California | Mono |  |  |  |	North America				United States	US	California	Mono		Long Valley, Eaton's Ranch	USA | California | Mono | Long Valley, Eaton's Ranch														decimal degrees		37.659455	-118.754787	WGS84	17880						Ryane Cox	28 May 2014	Georeferencing Quick Reference Guide	GEOLocate	requires verification	Could not locate Eaton's Ranch. Georeferenced Long Valley																																			Porzana carolina							Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora Rail	ICZN			
